,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
67,0.8338679790496826,0.00908822234830404,0.08516030311584473,0.028826816407654155,False,entropy,2,1000,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
66,0.4175268173217773,0.004303028692086515,0.03718299865722656,0.004037902158418613,False,entropy,2,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
65,0.08586344718933106,0.0037167367380977266,0.007397317886352539,0.00011861927889318399,False,entropy,2,100,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
64,0.010076618194580078,0.00024274859469970662,0.0014942169189453125,3.459137265225285e-05,False,entropy,2,10,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 10}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
63,0.8299944877624512,0.00359336786063704,0.0689213752746582,0.0025991389474423203,False,entropy,1,1000,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
62,0.4058982372283936,0.0055609786437421,0.033777618408203126,0.000882337854064754,False,entropy,1,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
69,0.08842225074768066,0.005654813868368448,0.007568883895874024,0.00041421302842711876,False,entropy,3,100,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
78,0.4219336032867432,0.0039398969799178014,0.03492722511291504,0.0022882144329902203,False,entropy,5,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
79,0.8551137447357178,0.010114835742809927,0.0831840991973877,0.02877595449959669,False,entropy,5,1000,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
19,1.1341965675354004,0.009001553746934532,0.06623978614807129,0.0004369645126099721,True,gini,5,1000,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
5,0.11414790153503418,0.0020469587083659824,0.007580900192260742,0.00037184061835329925,True,gini,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
6,0.567049503326416,0.002508658022220587,0.03376836776733398,0.0004070642778427938,True,gini,2,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
